Data,Acompanhamentos,Prato Principal,Guarnição,Salada,Sobremesa,Refresco,Extra,Nota Técnica
2014-01-02,ARROZ E FEIJÃO,COPA LOMBO ACEBOLADO,FAROFA,ACELGA/ABOBRINHA,MELANCIA,MARACUJÁ,PÃO E CAFÉ,
2014-01-03,ARROZ E FEIJÃO,FILÉ DE FRANGO GRATINADO,"REFOGADO DE CENOURA, VAGEM, ERVILHA E MANDIOQUINHA",CHICÓRIA/TOMATE,ABACAXI,LIMÃO,PÃO E CAFÉ,
2014-01-06,ARROZ E FEIJÃO,LAGARTO ASSADO AO MOLHO ROTY,ABOBRINHA REFOGADA,REPOLHO /TABULE,BARRINHA DE CEREAL,ABACAXI,PÃO E CAFÉ,
2014-01-07,ARROZ E FEIJÃO,FILÉ DE PESCADA AO MOLHO DE MARACUJÁ,PURÊ A CABOCLA (ABÓBORA +BATATA),COUVE/BETERRABA COZIDA,MAÇÃ,CAJÚ,PÃO E CAFÉ,
2014-01-08,ARROZ E FEIJÃO,LINGUICA TOSCANA ACEBOLADA,POLENTA MOLE AO SUGO,ACELGA/CENOURA RALADA,IOGURTE,UVA,PÃO E CAFÉ,
2014-01-09,ARROZ E FEIJÃO,CUBOS DE FRANGO ACEBOLADOS,CREME DE MILHO,RÚCULA/PEPINO,MELÃO,MANGA,PÃO E CAFÉ,
2014-01-10,ARROZ E FEIJÃO,"BIFE A ZINGARA(CARNE BOVINA PRESUNTO, CHAMPIGNON,C",CHUCHU NA SALSA,ALMEIRÃO/SOJA AO VINAGRETE,SAGÚ,TANGERINA,PÃO E CAFÉ,
2014-01-13,ARROZ E FEIJÃO,COPA LOMBO ACEBOLADO,"FAROFA RICA(ovos,milho,ervilha e azeitonas)",REPOLHO BICOLOR/TOMATE,MAX GOIABINHA,MARACUJÁ,PÃO E CAFÉ,
2014-01-14,ARROZ E FEIJÃO,COXA DE FRANGO CROCANTE,VAGEM REFOGADA,ACELGA ABÓBORA TEMPERADA,SORVETE,LIMÃO,PÃO E CAFÉ,
2014-01-15,ARROZ E FEIJÃO,ISCAS DE CARNE COM AZEITONAS,COUVE FLOR GRATINADA,ESCAROLA/CHUCHU,LARANJA,CAJÚ,PÃO E CAFÉ,
2014-01-16,ARROZ E FEIJÃO,FILÉ DE FRANGO AO ALHO PORÓ E TOMATE,ACELGA REFOGADA,ALFACE/CENOURA RALADA,GELATINA,UVA,PÃO E CAFÉ,
2014-01-17,ARROZ E FEIJÃO,SALSICHA A PAMODORO,PURÊ DE BATATA,MIX DE FOLHAS/ABOBRINHA RALADA,ABACAXI,MANGA,PÃO E CAFÉ,
2014-01-20,ARROZ E FEIJÃO,FILÉ DE PESCADA AO MOLHO DE ERVAS FINAS,"CAPONATA DE BERINJELA(berinjela,pimentões,cebola",CATALONHA/BETERRABA RALADA,DOCE DE ABÓBORA COM COCO,LARANJA,PÃO E CAFÉ,
2014-01-21,ARROZ E FEIJÃO,LASANHA DE FRIOS,ESCAROLA REFOGADA,COUVE /VINAGRETE,MELANCIA,MARACUJÁ,PÃO E CAFÉ,
2014-01-22,ARROZ E FEIJÃO,STROGONOFF DE CARNE,BATATA PALHA,ALMEIRÃO/PEPINO,PUDIM DE LEITE COM CALDA DE CARAMELO,UVA,PÃO E CAFÉ,
2014-01-23,ARROZ E FEIJÃO,CARNE MOIDA COM LEGUMES,REPOLHO REFOGADO,ESCAROLA/BATATA DOCE,MIXIRICA,LIMÃO,PÃO E CAFÉ,
2014-01-24,ARROZ E FEIJÃO,LAGARTO ASSADO AO MOLHO FERRUGEM,REPOLHO REFOGADO,ALFACE/TOMATE,SALADA DE FRUTAS,CAJÚ,PÃO E CAFÉ,
2014-01-27,ARROZ E FEIJÃO,FILÉ DE FRANGO ACEBOLADO,MACARRÃO AO ALHO E OLEO,CHICÓRIA/CHUCHU NA SALSA,MELÃO,MANGA,PÃO E CAFÉ,
2014-01-28,ARROZ E FEIJÃO,KIBE ASSADO,ABOBRINHA REFOGADA,ALMEIRÃO/FEIJÃO BRANCO,FRAN DE CHOCOLATE,CAJÚ,PÃO E CAFÉ,
2014-01-29,ARROZ E FEIJÃO,BIFE AO MOLHO FRICANDOLE,"JARDINEIRA DE LEGUMES(BATATA,ERVILHA,MILHO E CENOU",REPOLHO BRANCO/BETERRABA RALADA,BANANA,UVA,PÃO E CAFÉ,
2014-01-30,ARROZ E FEIJÃO,ALMONDEGAS,BATATA SAUTÊ,AGRIÃO/SOJA,MANJAR DE COCO,TANGERINA,PÃO E CAFÉ,
2014-01-31,ARROZ E FEIJÃO,COXA DE FRANGO ASSADA,CHUCHU GRATINADO,MIX DE FOLHAS/ABOBRINHA ASSADA,MELANCIA,LARANJA,PÃO E CAFÉ,
2014-02-03,ARROZ E FEIJÃO,SALSICHA AO SUGO,PURÊ DE BATATA,ALMEIRÃO/TABULE,MELANCIA,MANGA,PÃO E CAFÉ,
2014-02-04,ARROZ E FEIJÃO,LAGARTO ASSADO AO MOLHO MADEIRA,"VIRADO DE REPOLHO,AZEITONA E MILHO",ALFACE/ABÓBORA TEMPERADA,MANJAR COM CALDA DE AMEIXA,LARANJA,PÃO E CAFÉ,
2014-02-05,ARROZ E FEIJÃO,FILÉ DE PESCADA A PORTUGUESA,PIRÃO,AGRIÃO/TOMATE,CURAU,MARACUJÁ,PÃO E CAFÉ,
2014-02-06,ARROZ E FEIJÃO,FILÉ DE FRANGO AO MOLHO DE MOSTARDA,LEGUMES NA MANTEIGA,MIX DE FOLHAS/RABANETE,MAÇÃ,LIMÃO,PÃO E CAFÉ,
2014-02-07,ARROZ E FEIJÃO,CUBOS DE CARNE COM AZEITONA,CENOURA SAUTÊ,ACELGA/BATATA BOLINHA,IOGURTE,ABACAXI,PÃO E CAFÉ,
